Video analysis detailed log																																								
Face Model:	General61																																							
Calibration:	None																																							
Start time:	0																																							
Filename:	\Donald_Trump.mp4																																							
Frame rate:	29.97002997																																							
Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Valence	Arousal	Y - Head Orientation	X - Head Orientation	Z - Head Orientation	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Puckerer	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed	Stimulus	Event Marker
00:00.0	0.1337518	0.000939568	0.04702988	0.05220249	0.000278705	0.0197165	0.08881491	0.02729993	-0.08787534	0.9736201	17.12072	0.2234952	-9.087664	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	A	NotActive	NotActive	D	NotActive	C	NotActive	C	B	NotActive	NotActive	D	C	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.0	0.1451602	0.000923844	0.05199593	0.05023078	0.000304626	0.01965949	0.0856852	0.02639391	-0.08476136	0.9736201	18.58432	1.192001	-9.002007	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	A	NotActive	NotActive	D	NotActive	C	NotActive	C	B	NotActive	NotActive	D	C	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.1	0.153631	0.000894935	0.07325625	0.04765679	0.000332013	0.02003867	0.08429642	0.02678765	-0.08340149	0.9732441	19.33998	1.533784	-9.005334	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	A	NotActive	NotActive	D	NotActive	C	NotActive	C	B	NotActive	NotActive	D	C	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.1	0.1681127	0.000884406	0.08263963	0.04494255	0.000349566	0.02060151	0.08276165	0.02813592	-0.08187725	0.9727181	21.0482	1.553331	-9.058063	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	A	NotActive	NotActive	D	NotActive	C	NotActive	C	B	NotActive	NotActive	D	C	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.1	0.1816196	0.00087272	0.08715003	0.04319228	0.000365691	0.02079305	0.07967472	0.03316338	-0.08627731	0.9721674	20.83768	1.701275	-9.015299	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	A	NotActive	NotActive	D	NotActive	C	NotActive	C	B	NotActive	NotActive	D	C	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.2	0.2064986	0.00086159	0.08878602	0.04091725	0.000403328	0.02066153	0.07621146	0.03780551	-0.08792443	0.9714652	20.91554	1.549198	-8.896303	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	A	NotActive	NotActive	D	NotActive	C	NotActive	C	B	NotActive	NotActive	D	C	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.2	0.2198491	0.00082895	0.1029215	0.03901491	0.000444265	0.02086497	0.07435533	0.04338876	-0.1020925	0.970481	21.97108	1.234871	-9.018675	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	A	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	C	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.2	0.2442952	0.00082921	0.1030174	0.03708667	0.000482101	0.02057614	0.07070257	0.05057469	-0.1021882	0.9693756	22.51354	1.337097	-8.885772	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	A	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	C	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.3	0.2661834	0.000818889	0.1035948	0.03543213	0.000523478	0.02039436	0.06751803	0.05717555	-0.102776	0.9681281	23.08855	1.497464	-8.663727	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	A	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	C	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.3	0.2760216	0.000776203	0.1228956	0.03419707	0.00059659	0.02046673	0.06460917	0.06543393	-0.1221194	0.9666409	23.48491	1.564556	-8.642966	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	A	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	C	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
