Video analysis detailed log																																								
Face Model:	General61																																							
Calibration:	None																																							
Start time:	0																																							
Filename:	\Megyn_Kelly.mp4																																							
Frame rate:	29.97002997																																							
Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Valence	Arousal	Y - Head Orientation	X - Head Orientation	Z - Head Orientation	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Puckerer	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed	Stimulus	Event Marker
00:00.0	0.4958705	0.2102456	0.000823766	0.009185052	0.01072281	0.000308885	0.004389679	0.003168538	0.2010606	0.4044156	-0.818517	-2.32812	2.947557	Closed	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	E	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.0	0.4894967	0.218168	0.000775217	0.009089926	0.0111448	0.00037945	0.004485023	0.003207583	0.2090781	0.4045486	-0.3261541	-2.767064	3.151655	Closed	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	E	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.1	0.502208	0.2088464	0.000815385	0.009025753	0.01108956	0.000587142	0.00499899	0.003141299	0.1998207	0.4051163	2.15749	-5.199428	3.229789	Closed	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	E	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.1	0.5139053	0.199929	0.000873991	0.008890017	0.01121392	0.000793777	0.005383874	0.00302205	0.191039	0.4064736	3.093345	-5.90485	3.329995	Closed	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.1	0.5310277	0.1899178	0.00112616	0.008546733	0.01119884	0.000838934	0.00551325	0.002871	0.181371	0.4077609	3.854255	-6.774808	3.268029	Closed	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.2	0.520682	0.1890861	0.001117432	0.008104444	0.01301072	0.000868429	0.005515045	0.00270385	0.1809817	0.4105385	4.46839	-7.652948	3.409947	Closed	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.2	0.5036815	0.1978689	0.001057314	0.007567759	0.01429228	0.001102799	0.005660277	0.002503866	0.1903011	0.4150367	4.425412	-7.118763	3.03624	Closed	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.2	0.471396	0.2113962	0.001130527	0.006902012	0.0170452	0.001145973	0.005758546	0.002372728	0.2044941	0.4206347	2.540591	-6.771029	2.946678	Closed	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.3	0.4444642	0.221954	0.001393097	0.006285019	0.01860813	0.001124073	0.006122502	0.002436525	0.215669	0.4266483	-0.8344468	-6.392941	2.886534	Closed	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.3	0.428297	0.2338248	0.001573511	0.005726061	0.02143412	0.001148021	0.006171841	0.002781719	0.2276529	0.4337672	-3.31928	-5.96772	3.03655	Open	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
